Date,Time,Open,High,Low,Close,Vol,Dev,M5,Highest,Manual_Highest,,Lowest,Manual_Lowest,Total_Vol,Price_Level,One_L,One_H,One_V,One_R,One_T,Two_L,Two_H,Two_V,Two_R,Two_T,Three_L,Three_H,Three_V,Three_R,Three_T,Four_L,Four_H,Four_V,Four_R,Four_T,Five_L,Five_H,Five_V,Five_R,Five_T,Six_L,Six_H,Six_V,Six_R,Six_T,Seven_L,Seven_H,Seven_V,Seven_R,Seven_T,Eight_L,Eight_H,Eight_V,Eight_R,Eight_T,Nine_L,Nine_H,Nine_V,Nine_R,Nine_T,Ten_L,Ten_H,Ten_V,Ten_R,Ten_T
2020-03-11 05:00:00+00:00,2020-03-11T05:00:00.000000000Z,1.13377,1.13518,1.13374,1.13446,3182,0.00144,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 06:00:00+00:00,2020-03-11T06:00:00.000000000Z,1.13508,1.13654,1.13442,1.13548,7499,0.00212,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 07:00:00+00:00,2020-03-11T07:00:00.000000000Z,1.1364,1.13667,1.1327,1.134685,15482,0.00397,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 08:00:00+00:00,2020-03-11T08:00:00.000000000Z,1.13286,1.13334,1.13093,1.132135,15327,0.00241,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 09:00:00+00:00,2020-03-11T09:00:00.000000000Z,1.13133,1.13336,1.13015,1.131755,13361,0.00321,1.133703,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 10:00:00+00:00,2020-03-11T10:00:00.000000000Z,1.13039,1.13291,1.13038,1.131645,10738,0.00253,1.13314,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 11:00:00+00:00,2020-03-11T11:00:00.000000000Z,1.13272,1.13391,1.1323,1.133105,9662,0.00161,1.132665,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 12:00:00+00:00,2020-03-11T12:00:00.000000000Z,1.13292,1.13516,1.13256,1.13386,13274,0.0026,1.1325,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 13:00:00+00:00,2020-03-11T13:00:00.000000000Z,1.13392,1.1352,1.13309,1.134145,11692,0.00211,1.132902,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 14:00:00+00:00,2020-03-11T14:00:00.000000000Z,1.13448,1.13485,1.13068,1.132765,14919,0.00417,1.133104,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
